,mean_exp_het,uniq_haps,mean_hap_ct,seg_sites,tajD,adj_LD,mat_sum,uniq_snp_pattern_ct,kelly_z
467,0.24064606741573033,21,1.9047619047619047,89,0.18185046492145662,0.1490845386236332,656,32,0.13389990569628274
468,0.25618990384615387,23,1.7391304347826086,104,0.4312099133936947,0.17149376335991112,837,27,0.16792242528011392
469,0.13259408602150544,26,1.5384615384615385,93,-1.5400241644989163,0.11007318825668186,701,35,0.13353196583604915
470,0.25653125000000004,17,2.3529411764705883,120,0.43825602192625657,0.3133507481906263,1257,24,0.30808455712277527
471,0.21933333333333338,22,1.8181818181818181,150,-0.15942031399387566,0.18966150382286692,1240,29,0.18412566492467025
472,0.2008585858585859,29,1.3793103448275863,99,-0.4528601091655853,0.09807225023916613,590,41,0.10003829580154373
473,0.2902408256880734,27,1.4814814814814814,109,0.9768652710223527,0.25535387045731395,1169,33,0.2598828305643525
474,0.1522362385321101,27,1.4814814814814814,109,-1.232435812707717,0.0888192486621781,853,35,0.1101866575102847
475,0.1740412621359223,24,1.6666666666666667,103,-0.8820290192699782,0.23197966444470974,989,29,0.21463795753212092
476,0.3458418367346938,23,1.7391304347826086,147,1.8796286985206563,0.4539876887762533,2103,29,0.45139350520228205
477,0.24869680851063827,29,1.3793103448275863,141,0.3136442306497701,0.19903675005378021,1255,37,0.20625600659921275
478,0.2519113372093023,26,1.5384615384615385,172,0.3667555225589572,0.17641237714614233,1671,36,0.2004123362415996
479,0.20284793814432994,26,1.5384615384615385,97,-0.4208493558967631,0.0838927555532422,553,32,0.1164449556473464
480,0.3099256756756757,25,1.6,185,1.3059969539364549,0.34280799987452754,2277,34,0.3510861306795704
481,0.257724609375,24,1.6666666666666667,128,0.4580846439384312,0.19663226626433716,1063,31,0.18320081799048832
482,0.15940476190476188,31,1.2903225806451613,168,-1.1280038572717435,0.2498126285636125,1682,39,0.2485759804257248
483,0.3094507575757576,21,1.9047619047619047,132,1.2902428220408526,0.3284479690785656,1576,28,0.3234860172766193
484,0.28358443708609266,28,1.4285714285714286,151,0.8766550296489042,0.17239627073059838,1449,38,0.20962743748286122
485,0.23414603960396038,25,1.6,101,0.07868808595427841,0.11121059268925829,671,33,0.11905942504783934
486,0.20262362637362644,25,1.6,91,-0.4236202812248926,0.13297780190681296,755,34,0.14560640817474987
